k,n_raters,metric_sample_size,inertia,silhouette,calinski_harabasz,davies_bouldin,seconds
2,807090,10000,5451375.303205422,0.25190285484054614,1882.0105529200027,1.9041228678125353,31.894957542419434
3,807090,10000,4897084.563840907,0.2560748144437554,1585.5872596331262,1.611922668880408,22.24878215789795
4,807090,10000,4004979.8692702004,0.22219372262621082,2069.852533695719,1.4207233087270916,20.490461587905884
5,807090,10000,3355399.2652336536,0.2706997690663435,2386.2444383286593,1.1997527670617303,11.789291858673096
6,807090,10000,2841024.6961600916,0.27522019278195065,2624.0632171843267,1.108343682161886,9.746340274810791
7,807090,10000,2476077.529388629,0.2748477936771221,2742.684130219969,1.0882797717071129,44.946105003356934
8,807090,10000,2350567.703948984,0.258112274674654,2551.0486513491487,1.107011226040906,43.471744775772095
9,807090,10000,2140204.3894883282,0.2796919692635199,2566.0456885424132,1.1195144022178454,51.37800407409668
10,807090,10000,2000015.1729343971,0.2876211915267283,2544.316949532993,1.064264026930871,14.955052852630615
11,807090,10000,1817389.8885299244,0.2937403548864542,2613.757809348111,1.0368240781066345,52.50597906112671
12,807090,10000,1809829.0990016474,0.2883328261051395,2402.588687575952,1.1028980307901601,47.828120470047
13,807090,10000,1613235.5535107,0.3027703372130327,2546.082298180114,1.0186283408933665,54.32326674461365
14,807090,10000,1563608.56525977,0.28459197011055815,2418.2910473518823,1.11100776080646,41.61589813232422
15,807090,10000,1520614.928079751,0.2743224168252002,2378.9557363244694,1.1342470681548027,63.59378433227539
16,807090,10000,1367749.1206176684,0.306086222450826,2505.4967398886706,1.0810895879162143,56.478944540023804
17,807090,10000,1298881.0040323795,0.3058035904953658,2533.7025231692746,1.0187755267292116,57.23035192489624
18,807090,10000,1275095.350632592,0.2858002525284778,2418.722410573605,1.066876960688762,57.17983651161194
19,807090,10000,1223544.1335247562,0.29596948538073675,2402.3103052796178,1.1075828442218292,60.903658628463745
20,807090,10000,1189711.3498672114,0.28848760128899564,2346.982053782753,1.1125795129928473,53.99619650840759
21,807090,10000,1121445.1493997814,0.284087565673102,2393.969005899418,1.0610712594769245,45.79459857940674
22,807090,10000,1120507.9695949622,0.299022788499411,2310.7543737793276,1.0892159281088456,59.28382635116577
23,807090,10000,1112044.9862516,0.27907354829925557,2202.9645468688145,1.0844305516667807,58.488250494003296
24,807090,10000,1045336.3945887008,0.28021968502885236,2268.3032285001163,1.0801226076113206,52.03498721122742
25,807090,10000,1033149.902559776,0.2710986665778933,2201.523595511954,1.0873146854609024,52.57417392730713
26,807090,10000,1022981.3355850414,0.27875007399555757,2160.87554091118,1.0870016839637484,54.31711030006409
27,807090,10000,985446.6011050261,0.2858116245003448,2159.1280875191615,1.1124987484993787,63.75897741317749
28,807090,10000,956455.6880456907,0.273842359777678,2152.133214281279,1.1092405313776985,52.22255063056946
29,807090,10000,941063.332417868,0.289667395097853,2141.4683720580547,1.1190884040345188,68.11337780952454
30,807090,10000,917899.2090039337,0.28315229207008485,2091.2032591323264,1.1025911665795944,75.01791024208069
31,807090,10000,903006.8235941828,0.2769164097036856,2066.6942132888225,1.079291020436169,77.30209708213806
32,807090,10000,898433.4324164989,0.28101123493678243,2021.0314164794243,1.1058493745063345,86.03972053527832
