flag,population_prop,sample_prop,abs_prop_diff
misleadingManipulatedMedia,0.08284519735027371,0.0828,4.5197350273709636e-05
misleadingFactualError,0.4419749444362498,0.44265,0.0006750555637501932
misleadingOutdatedInformation,0.16670625089064503,0.16565,0.0010562508906450385
misleadingMissingImportantContext,0.47703406659983183,0.4758,0.001234066599831829
misleadingUnverifiedClaimAsFact,0.2738240777084151,0.27685,0.0030259222915848816
misleadingSatire,0.05798297128352055,0.06065,0.002667028716479454
notMisleadingOther,0.045155599334318355,0.0477,0.002544400665681644
notMisleadingFactuallyCorrect,0.11305254368223285,0.1117,0.0013525436822328513
notMisleadingOutdatedButNotWhenWritten,0.006163888687495469,0.00595,0.0002138886874954683
notMisleadingClearlySatire,0.03628039964232529,0.03535,0.0009303996423252886
notMisleadingPersonalOpinion,0.07340915170591339,0.073,0.00040915170591339367
