fold,c,class_weight,inner_accuracy,inner_balanced_accuracy,inner_n,inner_recall_not_helpful,inner_n_not_helpful,inner_recall_needs_more_ratings,inner_n_needs_more_ratings,inner_recall_helpful,inner_n_helpful,test_accuracy,test_balanced_accuracy,test_n,test_recall_not_helpful,test_n_not_helpful,test_recall_needs_more_ratings,test_n_needs_more_ratings,test_recall_helpful,test_n_helpful,method
1,0.03,none,0.880625,0.3307511737089202,1600,0.0,61,0.9922535211267606,1420,0.0,119,0.885,0.3323943661971831,400,0.0,15,0.9971830985915493,355,0.0,30,nested_lr_summary
2,0.03,none,0.883125,0.33425651950921215,1600,0.0,61,0.9943661971830986,1420,0.008403361344537815,119,0.885,0.3323943661971831,400,0.0,15,0.9971830985915493,355,0.0,30,nested_lr_summary
3,0.03,none,0.88375,0.33449126129324974,1600,0.0,61,0.9950704225352113,1420,0.008403361344537815,119,0.885,0.3323943661971831,400,0.0,15,0.9971830985915493,355,0.0,30,nested_lr_summary
4,0.03,none,0.88375,0.33192488262910796,1600,0.0,61,0.995774647887324,1420,0.0,119,0.8875,0.3435054773082942,400,0.0,15,0.9971830985915493,355,0.03333333333333333,30,nested_lr_summary
5,0.03,none,0.885625,0.33517214397496087,1600,0.0,60,0.9971830985915493,1420,0.008333333333333333,120,0.8825,0.3314553990610329,400,0.0,16,0.9943661971830986,355,0.0,29,nested_lr_summary
1,0.03,none,0.8775,0.34003694296929116,1600,0.03278688524590164,61,0.9873239436619718,1420,0.0,119,0.885,0.3323943661971831,400,0.0,15,0.9971830985915493,355,0.0,30,nested_lr_full_agent
2,0.03,none,0.87875,0.3403124630133744,1600,0.0,61,0.9873239436619718,1420,0.03361344537815126,119,0.8775,0.3295774647887324,400,0.0,15,0.9887323943661972,355,0.0,30,nested_lr_full_agent
3,0.03,none,0.879375,0.3379808261332702,1600,0.0,61,0.9887323943661972,1420,0.025210084033613446,119,0.88,0.3305164319248826,400,0.0,15,0.9915492957746479,355,0.0,30,nested_lr_full_agent
4,0.03,none,0.881875,0.33901677503141636,1600,0.01639344262295082,61,0.9922535211267606,1420,0.008403361344537815,119,0.8825,0.3314553990610329,400,0.0,15,0.9943661971830986,355,0.0,30,nested_lr_full_agent
5,0.03,none,0.8825,0.3365414710485133,1600,0.0,60,0.9929577464788732,1420,0.016666666666666666,120,0.875,0.3286384976525822,400,0.0,16,0.9859154929577465,355,0.0,29,nested_lr_full_agent
